id,cppcheck_hit,flawfinder_hit,status
194963,1,1,both
194989,1,0,cpp_only
194994,1,0,cpp_only
194996,1,1,both
194998,0,0,none
195017,1,0,cpp_only
195019,0,1,flawfinder_only
195022,1,1,both
195023,1,0,cpp_only
195026,1,0,cpp_only
195028,1,0,cpp_only
195029,1,0,cpp_only
195038,1,0,cpp_only
195039,0,0,none
195040,1,0,cpp_only
195055,1,0,cpp_only
195056,1,0,cpp_only
195069,1,0,cpp_only
195073,1,0,cpp_only
195074,1,0,cpp_only
195083,0,0,none
195091,1,0,cpp_only
195092,0,0,none
195095,0,0,none
195220,0,1,flawfinder_only
195231,1,1,both
195233,1,0,cpp_only
195237,1,1,both
195264,1,0,cpp_only
195274,0,0,none
195291,1,0,cpp_only
195294,1,0,cpp_only
195295,1,0,cpp_only
195296,1,0,cpp_only
195308,1,1,both
195309,1,1,both
195328,1,1,both
195331,1,0,cpp_only
195334,1,0,cpp_only
195340,1,0,cpp_only
195343,1,0,cpp_only
195385,1,0,cpp_only
195388,1,1,both
195389,1,0,cpp_only
195391,1,0,cpp_only
195398,1,1,both
195399,1,0,cpp_only
195402,1,0,cpp_only
195403,1,0,cpp_only
195404,1,0,cpp_only
195405,1,1,both
195409,1,0,cpp_only
195410,1,0,cpp_only
195471,1,1,both
195565,1,1,both
195626,1,1,both
195629,1,0,cpp_only
195665,1,1,both
195670,0,0,none
195691,1,0,cpp_only
195692,1,0,cpp_only
195720,1,0,cpp_only
195752,1,0,cpp_only
195768,1,0,cpp_only
195800,1,0,cpp_only
195801,1,1,both
195908,1,0,cpp_only
195909,1,1,both
195954,1,0,cpp_only
195965,1,0,cpp_only
195984,1,1,both
196316,1,0,cpp_only
196328,1,1,both
196578,1,0,cpp_only
196587,1,0,cpp_only
196611,1,0,cpp_only
196629,1,1,both
196689,1,0,cpp_only
196691,1,1,both
196705,1,0,cpp_only
196790,0,0,none
196801,1,1,both
196829,1,0,cpp_only
196834,1,0,cpp_only
196841,0,1,flawfinder_only
196846,1,0,cpp_only
196885,1,0,cpp_only
196889,1,0,cpp_only
196893,0,0,none
196894,0,0,none
196993,1,1,both
197015,1,0,cpp_only
197095,1,0,cpp_only
197111,1,1,both
197135,1,0,cpp_only
197142,1,0,cpp_only
197223,1,1,both
197239,1,0,cpp_only
197262,0,0,none
197305,1,0,cpp_only
197318,1,0,cpp_only
197326,1,0,cpp_only
197359,1,0,cpp_only
197395,1,0,cpp_only
197466,1,0,cpp_only
197499,1,0,cpp_only
197511,1,0,cpp_only
197518,1,0,cpp_only
197565,1,0,cpp_only
197593,1,0,cpp_only
197666,1,0,cpp_only
197719,1,0,cpp_only
197748,1,0,cpp_only
197760,1,0,cpp_only
197801,1,0,cpp_only
197824,1,0,cpp_only
197826,1,0,cpp_only
197893,0,0,none
197973,1,1,both
197998,1,0,cpp_only
198010,1,0,cpp_only
198013,1,1,both
198116,1,0,cpp_only
198117,1,0,cpp_only
198161,1,0,cpp_only
198169,1,0,cpp_only
198239,1,0,cpp_only
198259,1,0,cpp_only
198282,1,0,cpp_only
198350,1,1,both
198374,1,0,cpp_only
198399,1,1,both
198439,1,0,cpp_only
198449,1,0,cpp_only
198452,1,0,cpp_only
198476,1,0,cpp_only
198499,1,1,both
198523,1,0,cpp_only
198545,1,1,both
198556,1,0,cpp_only
198566,1,0,cpp_only
198662,1,0,cpp_only
198692,1,0,cpp_only
198695,1,1,both
198736,1,0,cpp_only
198743,1,0,cpp_only
198927,1,0,cpp_only
199712,1,0,cpp_only
199767,1,1,both
199778,1,0,cpp_only
199833,1,0,cpp_only
199841,1,0,cpp_only
199851,1,0,cpp_only
199984,1,0,cpp_only
200113,1,1,both
200157,1,1,both
200163,1,0,cpp_only
200287,1,0,cpp_only
200305,1,0,cpp_only
200323,1,1,both
200695,1,0,cpp_only
200934,1,0,cpp_only
201007,1,0,cpp_only
201353,1,0,cpp_only
201382,1,0,cpp_only
201451,1,1,both
201885,1,0,cpp_only
201925,1,0,cpp_only
202081,1,0,cpp_only
202082,1,0,cpp_only
202256,1,0,cpp_only
202392,1,0,cpp_only
202688,1,0,cpp_only
202708,1,0,cpp_only
202719,1,0,cpp_only
202748,1,1,both
202783,1,0,cpp_only
202822,1,0,cpp_only
202888,1,0,cpp_only
202889,1,0,cpp_only
202892,1,1,both
203614,1,0,cpp_only
203902,1,0,cpp_only
204032,1,0,cpp_only
204073,1,0,cpp_only
204115,1,0,cpp_only
204243,1,0,cpp_only
204351,0,0,none
204412,1,0,cpp_only
204425,1,1,both
204438,1,1,both
204495,1,0,cpp_only
204534,1,0,cpp_only
204535,1,0,cpp_only
204544,1,0,cpp_only
204830,1,0,cpp_only
205630,1,0,cpp_only
205734,1,0,cpp_only
205736,1,0,cpp_only
205823,1,0,cpp_only
206043,1,1,both
206262,1,1,both
206417,1,0,cpp_only
206555,1,1,both
206625,1,1,both
206639,1,0,cpp_only
206670,1,1,both
206676,1,0,cpp_only
206677,1,0,cpp_only
206771,0,0,none
206781,1,1,both
206815,1,0,cpp_only
206845,1,0,cpp_only
206942,1,0,cpp_only
206946,1,1,both
207068,1,1,both
207069,1,1,both
207150,1,0,cpp_only
207461,1,1,both
207520,1,0,cpp_only
207700,0,0,none
207703,1,1,both
207719,1,0,cpp_only
207753,1,0,cpp_only
207754,1,0,cpp_only
207755,1,1,both
207803,1,0,cpp_only
207804,1,0,cpp_only
207990,1,0,cpp_only
208107,1,0,cpp_only
208115,1,0,cpp_only
208140,0,1,flawfinder_only
208370,1,0,cpp_only
208411,1,1,both
208505,1,1,both
208522,1,1,both
208525,1,0,cpp_only
208535,1,0,cpp_only
208654,1,1,both
208912,1,0,cpp_only
208987,0,0,none
209026,1,0,cpp_only
209102,1,0,cpp_only
209801,1,0,cpp_only
209931,1,0,cpp_only
209955,1,0,cpp_only
210050,1,0,cpp_only
210090,1,0,cpp_only
210203,1,0,cpp_only
210204,1,1,both
210206,1,1,both
210252,1,1,both
210271,1,0,cpp_only
210273,1,0,cpp_only
210278,1,0,cpp_only
210282,1,0,cpp_only
210283,1,0,cpp_only
210284,1,0,cpp_only
210393,1,0,cpp_only
210420,1,1,both
210453,1,0,cpp_only
210484,1,0,cpp_only
210520,1,0,cpp_only
210527,1,1,both
210551,1,0,cpp_only
210570,1,0,cpp_only
210571,1,0,cpp_only
210620,1,0,cpp_only
210636,1,0,cpp_only
210669,1,1,both
210692,1,1,both
210887,1,0,cpp_only
210896,1,0,cpp_only
210904,1,1,both
210910,1,0,cpp_only
210928,1,0,cpp_only
210944,1,0,cpp_only
211090,1,0,cpp_only
211110,1,0,cpp_only
211113,1,0,cpp_only
